song_id,rms,spectral_bandwidth,spectral_centroid,spectral_contrast,spectral_flatness,spectral_rolloff,zero_crossing_rate,mfccs_offset,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,tempo,key,treble,tbb,genre,mean_valence,sd_valence,mean_arousal,sd_arousal
IWannaDanceWithSomebody_WhitneyHouston_Original5S,0.0508,3990.59,4469.29,19.75,0.00102,9194.4,0.11258,-249.59718,133.99947,-22.24672,54.492733,-10.283592,26.625616,-3.8469553,16.443815,-11.246427,10.796776,2.7370358,-0.9604082,5.084033,119,F#,1,0,1,0.21510747481632653,0.10859167265011592,0.19625487028571428,0.13068809661501388
IWantToHoldYourHand_TheBeatles_Cover5S,0.05619,2823.02,1861.73,23.02,9e-5,3605.14,0.03019,-248.33818,136.65901,6.939274,52.560913,-19.915674,31.477654,-3.7449389,7.6498237,-8.313825,7.1900215,-5.165256,4.0398564,-1.1791699,86,C,1,0,10,-7.696735714285684e-4,0.19778976901621606,-0.1767657476122449,0.11652729856128681
IWantToHoldYourHand_TheBeatles_Original5S,0.06613,2696.56,2532.87,20.2,1.1e-4,4861.91,0.05971,-211.73259,112.42406,-25.924032,54.021595,-9.691093,40.95259,-19.33578,27.702738,-4.7833,7.8513913,1.0533588,10.258572,-0.11412875,135,G,0,1,9,0.1575792954285714,0.16796038114646272,0.1201869167755102,0.14586096228004888
IWillAlwaysLoveYou_WhitneyHouston_Cover5S,0.05717,2889.24,2391.23,22.73,1.9e-4,4728.17,0.05905,-475.3885,144.13542,-29.07104,31.190199,-8.682457,21.369371,-10.911153,4.377784,-1.3899403,0.9717227,-8.282829,-4.5052,-10.696513,68,B,1,0,10,0.07629070908163264,0.18446501128998213,-0.045122429448979595,0.1944038869833317
IWillAlwaysLoveYou_WhitneyHouston_Original5S,0.05479,2695.65,2321.12,20.84,1.8e-4,4387.29,0.05177,-304.24008,139.93225,-33.533375,45.332703,-4.690592,23.636862,-16.134314,-1.4077612,4.2349787,2.7875395,-6.4185414,-4.831152,2.6349392,69,B,1,0,10,0.03773373748979593,0.18698914428374613,-0.019675602877551025,0.19066354112625217
JoyToTheWorld_ThreeDogNight_Cover5S,0.07156,3356.73,3268.86,19.78,0.00139,6404.69,0.08831,-204.04605,138.78136,-32.49253,41.693184,-18.593147,29.449236,-15.215022,14.158427,-10.6803665,11.777952,-0.66847867,0.9924894,-3.9418378,128,D,0,1,12,-0.0286034237755102,0.18710354803275686,0.13557776365306123,0.11861274068574078
JoyToTheWorld_ThreeDogNight_Original5S,0.03812,2292.91,1829.43,18.78,1.5e-4,3508.83,0.04258,-313.81833,197.00471,-41.892693,22.285242,-3.419096,18.537996,1.8570182,7.3804727,0.2870572,8.629557,5.2704005,-0.6050835,5.8559036,126,D,0,1,9,0.020472662916666676,0.1797434102302556,0.05797475845833333,0.1402485515467632
Kiss_Prince_Cover5S,0.03848,2208.59,1610.54,19.99,2.2e-4,2951.91,0.03717,-318.81293,185.19385,-21.001127,19.099104,-18.833557,8.674069,-8.287149,1.3872554,-0.3770912,-6.5925856,-2.604419,2.7121477,-7.305775,139,A,0,1,6,0.02181647206122448,0.15173744021939156,-0.051898095408163265,0.14755920811144296
Kiss_Prince_Original5S,0.02479,3690.2,4109.8,18.8,0.0027,8042.66,0.10397,-347.788,89.40481,-36.39667,29.106966,-16.290476,11.736075,-12.315153,9.747275,-6.9405613,-4.6918616,-6.278616,1.5819458,-1.5224494,112,A,0,1,12,0.14865854179591836,0.12453624947148333,0.10574911842857143,0.1296006418378005
LeFreak_Chic_Cover5S,0.03216,3586.7,3474.94,17.59,0.00124,7484.96,0.07594,-302.7195,114.83151,-42.107895,51.045074,-16.861313,30.400553,-11.76885,19.363686,-3.8215876,6.249413,-2.3489227,3.35289,4.8023367,120,a,1,0,3,0.03485744914583333,0.16629589807531267,0.1625068913125,0.1294158494405986
LeFreak_Chic_Original5S,0.02771,3336.02,3613.94,18.46,0.00184,7110.98,0.09781,-329.29044,102.78494,-40.36092,34.665764,-5.662184,24.13618,-9.112833,0.07258358,6.382328,-8.422043,0.4124,-6.9579854,-4.550282,118,a,1,1,12,0.18215196079591836,0.1268518164375106,0.1798937457142857,0.11691900050372495
LetsGetItOn_MarvinGaye_Cover5S,0.03568,2881.36,1832.82,18.72,7.6e-4,3854.71,0.02821,-367.26163,154.0208,10.871606,45.74601,-1.4028376,15.646157,2.7919786,5.1643677,-8.230733,5.674593,-7.1288314,-8.6242695,-3.4187908,50,E,1,0,5,0.05136384720833333,0.17017817731922588,-0.18683847089583333,0.10582852540615909
LetsGetItOn_MarvinGaye_Original5S,0.02625,2814.99,2281.52,18.16,2.7e-4,5096.14,0.04583,-353.28748,154.78296,-27.235338,42.43629,-2.170381,23.458185,14.933901,5.524492,3.2382863,-1.666444,-3.4337955,1.3658272,3.9517329,82,Eb,0,1,12,0.13753542732653062,0.14126281952690395,-0.11712028834693877,0.13868350065425852
Levitating_DuaLipa_Cover5S,0.08862,3398.9,3030.57,18.6,5.6e-4,6767.98,0.06327,-170.98117,134.52925,-41.59445,49.005577,-15.807446,31.62471,-15.705151,14.236712,-4.5950246,6.006277,4.905958,6.7961206,5.9296913,103,D,1,0,3,-0.03985981906122449,0.18018184681038796,0.19452982467346938,0.09941692267510789
