exp_subject_id,song_id,similarity
592416,2014_5,2
592416,2013_3,4
592416,2016_4,3
592416,2010_1,1
592416,2011_4,2
592416,2008_3,2
592416,2012_3,2
592416,2018_3,5
592416,2010_3,1
592416,2015_2,5
592416,2009_2,4
592416,2017_1,2
592416,2012_2,3
592416,2016_1,3
592416,2018_1,3
592416,2014_1,4
592416,2011_1,5
592416,2016_3,4
592416,2015_4,1
592416,2015_1,7
592416,2014_4,4
592416,2011_2,5
592416,2013_2,4
592420,2016_2,6
592420,2018_5,4
592420,2019_2,2
592420,2017_4,1
592420,2016_5,1
592420,2017_3,2
592420,2018_2,6
592420,2012_5,6
592420,2013_1,5
592420,2019_4,6
592420,2010_2,6
592420,2012_4,7
592420,2014_3,6
592420,2013_5,5
592420,2008_2,5
592420,2018_4,4
592420,2012_1,6
592420,2017_5,3
592420,2019_3,1
592420,2015_3,7
592420,2017_2,6
592420,2009_3,6
592420,2019_1,5
592420,2011_3,4
592420,2014_2,5
592420,2018_1,6
592420,2018_3,7
592420,2016_1,5
592420,2014_4,5
592420,2013_2,6
592420,2010_1,4
592420,2015_2,6
592420,2012_2,6
592420,2015_1,7
592420,2011_1,3
592420,2014_5,3
592420,2008_3,1
592420,2016_3,3
592420,2014_1,7
592420,2012_3,5
592420,2015_5,6
592420,2013_6,7
592420,2017_1,5
592420,2016_4,1
592420,2010_3,3
592420,2009_2,4
592420,2015_4,6
592420,2011_4,4
592420,2013_3,7
592420,2011_2,6
592421,2018_2,6
592421,2019_4,3
592421,2019_2,2
592421,2019_1,5
592421,2012_5,3
592421,2010_2,6
592421,2017_4,3
592421,2009_3,6
592421,2012_4,3
592421,2019_3,1
592421,2013_5,1
592421,2017_5,1
592421,2011_3,5
592421,2017_2,4
592421,2014_2,3
592421,2008_2,1
592421,2013_1,3
592421,2018_5,2
592421,2016_2,4
592421,2018_4,3
592421,2017_3,2
592421,2015_3,6
592421,2016_5,1
592421,2012_1,4
592421,2014_3,2
592421,2014_1,5
592421,2010_3,3
592421,2016_4,1
592421,2018_3,7
592421,2012_2,2
592421,2015_5,4
592421,2017_1,1
592421,2018_1,2
592421,2012_3,1
592421,2015_1,7
592421,2011_4,1
592421,2015_2,5
592421,2011_1,3
592421,2008_3,1
592421,2010_1,1
592421,2016_1,1
592421,2013_6,6
592421,2014_5,4
592421,2011_2,3
592421,2014_4,2
592421,2009_2,1
592421,2013_2,6
592421,2013_3,7
592421,2015_4,2
592421,2016_3,2
592422,2017_2,7
592422,2012_5,5
592422,2019_2,3
592422,2016_5,3
592422,2012_4,7
592422,2009_3,7
592422,2016_2,7
592422,2018_5,7
592422,2011_3,7
592422,2010_2,5
592422,2019_4,5
592422,2012_1,7
592422,2014_2,6
592422,2014_3,5
592422,2017_3,6
592422,2008_2,6
592422,2017_4,5
592422,2013_1,7
592422,2018_2,5
592422,2018_4,6
592422,2019_1,7
592422,2015_3,7
592422,2019_3,7
592422,2013_5,4
592422,2017_5,5
592422,2015_4,4
592422,2009_2,4
592422,2015_2,7
592422,2013_6,7
592422,2012_2,5
592422,2014_5,5
592422,2014_1,6
592422,2011_4,4
592422,2012_3,5
592422,2016_4,5
592422,2008_3,5
592422,2010_1,4
592422,2018_3,5
592422,2011_1,5
592422,2016_3,7
592422,2013_3,7
592422,2018_1,5
592422,2015_5,6
592422,2011_2,5
592422,2015_1,7
592422,2016_1,4
592422,2014_4,5
592422,2017_1,5
592422,2013_2,6
592422,2010_3,6
592423,2012_5,2
592423,2018_5,5
592423,2011_3,5
592423,2017_2,7
592423,2018_2,5
592423,2014_3,3
592423,2018_4,1
592423,2019_2,2
592423,2013_1,2
592423,2009_3,4
592423,2017_4,4
592423,2013_5,5
592423,2019_1,4
592423,2017_3,2
592423,2019_4,3
592423,2012_1,5
592423,2016_2,6
592423,2012_4,2
592423,2016_5,1
592423,2010_2,5
592423,2017_5,1
592423,2019_3,1
592423,2015_3,6
592423,2014_2,3
592423,2008_2,4
592423,2010_1,1
592423,2016_1,3
592423,2009_2,2
592423,2014_1,6
592423,2015_1,6
592423,2013_3,4
592423,2016_4,3
592423,2010_3,2
592423,2011_2,5
592423,2017_1,5
592423,2015_5,7
592423,2015_2,4
592423,2011_4,1
592423,2012_2,5
592423,2018_1,3
592423,2013_2,3
592423,2011_1,6
592423,2013_6,5
592423,2016_3,2
592423,2012_3,2
592423,2014_5,5
592423,2014_4,1
592423,2018_3,4
592423,2015_4,2
592423,2008_3,2
592428,2013_1,4
592428,2015_3,5
592428,2012_5,4
592428,2011_3,7
592428,2012_4,2
592428,2016_5,3
592428,2017_4,4
592428,2019_2,4
592428,2017_5,2
592428,2017_3,6
592428,2019_4,3
592428,2018_5,1
592428,2018_4,5
592428,2019_3,1
592428,2010_2,3
592428,2014_3,1
592428,2018_2,5
592428,2014_2,5
592428,2009_3,4
592428,2012_1,3
592428,2016_2,4
592428,2017_2,2
592428,2008_2,3
592428,2013_5,1
592428,2019_1,6
592428,2016_3,4
592428,2015_2,5
592428,2013_3,2
592428,2017_1,1
592428,2015_4,1
592428,2014_1,6
592428,2014_5,3
592428,2012_3,4
592428,2016_4,2
592428,2013_6,6
592428,2009_2,1
592428,2016_1,2
592428,2018_3,5
592428,2013_2,5
592428,2010_3,4
592428,2015_5,4
592428,2014_4,2
592428,2012_2,2
592428,2011_2,3
592428,2018_1,6
592428,2015_1,5
