Submission id,,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Custom study tncs accepted at,exp_id2,exp_id1,internal_id
63f86a8eea24595a309ac68c,,APPROVED,2023-02-24T07:43:15Z,2023-02-24T09:06:45Z,2023-02-24T15:01:09Z,2023-02-24T09:06:45Z,5011,CQXVLPYN,359,25,Female,Other,United States,United States,United States,English,No,Unemployed (and job seeking),NA,606787,598138,62
63f920765c96e923296c2980,,APPROVED,2023-02-24T20:39:28Z,2023-02-24T21:25:18Z,2023-02-26T21:28:35Z,2023-02-24T21:25:18Z,2750,CQXVLPYN,1720,27,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,NA,607149,598235,63
63f91c57c84cc04ec14cb227,,APPROVED,2023-02-24T20:21:46Z,2023-02-24T21:02:56Z,2023-02-26T21:28:34Z,2023-02-24T21:02:57Z,2471,CQXVLPYN,1878,30,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",NA,607147,598276,64
63f935f5fa8fd612032a36cb,,APPROVED,2023-02-24T22:11:04Z,2023-02-24T23:03:59Z,2023-02-26T21:28:35Z,2023-02-24T23:04:01Z,3175,CQXVLPYN,461,33,Female,White,United States,United States,United States,English,No,Full-Time,NA,607174,598288,65
63f9d65605fe3a17ea612aeb,,APPROVED,2023-02-25T09:35:18Z,2023-02-25T10:35:35Z,2023-02-26T21:28:35Z,2023-02-25T10:35:35Z,3617,CQXVLPYN,885,30,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking),NA,607228,598327,66
63fa4e03fde9aad04eda217c,,APPROVED,2023-02-25T18:06:01Z,2023-02-25T19:16:52Z,2023-02-26T21:28:35Z,2023-02-25T19:16:52Z,4251,CQXVLPYN,80,37,Female,White,United States,United States,United States,English,No,DATA_EXPIRED,NA,607342,598283,67
63fa5a1f8100bd2e75757a4e,,APPROVED,2023-02-25T18:57:39Z,2023-02-25T20:04:16Z,2023-02-26T21:28:35Z,2023-02-25T20:04:16Z,3998,CQXVLPYN,297,29,Female,Mixed,United States,United States,United States,English,No,DATA_EXPIRED,NA,607359,598166,68
63fbac862cf9c60aaaa9c523,,APPROVED,2023-02-26T19:01:34Z,2023-02-26T20:01:49Z,2023-02-26T21:28:35Z,2023-02-26T20:01:49Z,3616,CBB20LCV,3929,29,Female,White,United States,United States,United States,English,Yes,Full-Time,NA,607794,598430,69
63fcfedad634cdbfb426af86,,APPROVED,2023-02-27T19:05:00Z,2023-02-27T20:14:00Z,2023-02-28T16:46:10Z,2023-02-27T20:14:00Z,4140,CQXVLPYN,113,23,Male,White,United States,United States,United States,English,No,Full-Time,NA,608257,597946,70
63fd35777799723fefb36bce,,APPROVED,2023-02-27T22:58:04Z,2023-02-28T00:03:44Z,2023-02-28T16:46:10Z,2023-02-28T00:04:17Z,3940,CQXVLPYN,272,28,Female,White,United States,United States,United States,English,No,DATA_EXPIRED,NA,608386,598255,71
63fd8f3c34c40dae1b3977f2,,APPROVED,2023-02-28T05:21:04Z,2023-02-28T06:11:15Z,2023-02-28T16:46:10Z,2023-02-28T06:11:15Z,3012,CQXVLPYN,1086,28,Female,White,United States,United States,United States,English,No,DATA_EXPIRED,NA,608451,598287,72
63fe293c2b17862c1ca68894,,APPROVED,2023-02-28T16:25:23Z,2023-02-28T18:10:46Z,2023-02-28T18:55:50Z,2023-02-28T18:10:47Z,6324,CQXVLPYN,1469,28,Male,White,United States,United States,United States,English,No,Full-Time,NA,608677,598394,73
63fe391afc124502a73be632,,APPROVED,2023-02-28T17:25:51Z,2023-02-28T18:06:02Z,2023-02-28T18:55:50Z,2023-02-28T18:06:02Z,2411,CQXVLPYN,56,20,Male,White,United States,United States,United States,English,Yes,Part-Time,NA,608698,597970,74
63fe55a32dc12dab6c2085dc,,APPROVED,2023-02-28T19:27:35Z,2023-02-28T20:30:11Z,2023-02-28T21:53:50Z,2023-02-28T20:30:11Z,3757,CQXVLPYN,236,31,Female,White,United States,United States,United States,English,No,Full-Time,NA,608721,598244,75
63feafb9437d82ec83cb7b54,,APPROVED,2023-03-01T01:51:59Z,2023-03-01T03:47:03Z,2023-03-01T14:52:26Z,2023-03-01T03:47:04Z,6905,CQXVLPYN,771,39,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,NA,608855,597978,76
63feb90e707cd35428f0734e,,APPROVED,2023-03-01T02:31:46Z,2023-03-01T03:30:32Z,2023-03-01T14:52:26Z,2023-03-01T03:30:32Z,3526,CQXVLPYN,117,25,Female,White,United States,United States,United States,English,No,Full-Time,NA,608852,598267,77
64004e0fda7a9eeb261289b3,,APPROVED,2023-03-02T07:20:14Z,2023-03-02T08:29:52Z,2023-03-02T12:50:28Z,2023-03-02T08:29:52Z,4178,CQXVLPYN,2165,23,Female,White,United States,United States,United States,English,No,DATA_EXPIRED,NA,609293,598333,79
64008cdaccc6b9374e1af424,,APPROVED,2023-03-02T11:47:42Z,2023-03-02T12:21:34Z,2023-03-02T12:50:28Z,2023-03-02T12:21:34Z,2033,CQXVLPYN,351,28,Female,White,United States,United States,United States,English,No,DATA_EXPIRED,NA,609434,598123,80
6402101671704325babe16c6,,APPROVED,2023-03-03T15:20:01Z,2023-03-03T16:10:26Z,2023-03-03T16:38:27Z,2023-03-03T16:10:26Z,3025,CQXVLPYN,291,27,Female,White,United States,United States,United States,English,No,Full-Time,NA,609993,598211,81
64025d3cb97074670837360a,,APPROVED,2023-03-03T20:49:32Z,2023-03-03T21:30:05Z,2023-03-03T21:42:09Z,2023-03-03T21:30:05Z,2433,CQXVLPYN,2417,36,Female,Asian,United States,United States,United States,English,DATA_EXPIRED,Part-Time,NA,610446,598321,82
6403a36c026a42ebe81a79f4,,APPROVED,2023-03-04T20:00:49Z,2023-03-04T22:41:31Z,2023-03-06T18:43:23Z,2023-03-04T22:41:31Z,9643,CQXVLPYN,2847,24,Male,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,NA,610696,598259,83
6403a487f6745e9aa7498cf0,,APPROVED,2023-03-04T20:05:35Z,2023-03-04T21:00:54Z,2023-03-06T18:43:23Z,2023-03-04T21:00:55Z,3320,CQXVLPYN,104,37,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,NA,610698,598108,84
6409f90b6d4725c93cead170,,APPROVED,2023-03-09T15:19:44Z,2023-03-09T16:17:42Z,2023-03-09T20:49:04Z,2023-03-09T16:17:42Z,3478,NOCODE,586,28,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,NA,614462,597954,85
640d0a9def7c58ff6ba9ebfe,,APPROVED,2023-03-11T23:11:49Z,2023-03-12T00:46:21Z,2023-03-18T22:44:53Z,2023-03-12T00:46:22Z,5673,CQXVLPYN,461,25,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking),NA,617222,598272,86
6412567f87c74feba44d3965,,APPROVED,2023-03-15T23:36:35Z,2023-03-16T00:56:02Z,2023-03-18T22:44:53Z,2023-03-16T00:56:02Z,4768,CQXVLPYN,1648,33,Female,White,United States,United States,United States,English,No,Full-Time,NA,622920,598143,87
6423041643bdec1204d14aaa,,APPROVED,2023-03-28T15:13:32Z,2023-03-28T15:52:56Z,2023-04-02T21:36:00Z,2023-03-28T15:52:56Z,2365,CQXVLPYN,1023,24,Male,White,United States,United States,United States,English,No,Full-Time,NA,632806,598302,88
644fe0ede5924baf0fcc6cec,,APPROVED,2023-05-01T16:01:29Z,2023-05-01T17:18:15Z,2023-05-15T01:55:38Z,2023-05-01T17:18:16Z,4607,CQXVLPYN,241,22,Male,Other,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,NA,651231,598204,89
64504809772414e175d34f8a,,APPROVED,2023-05-01T23:15:23Z,2023-05-02T00:25:29Z,2023-05-15T01:55:38Z,2023-05-02T00:25:30Z,4207,CQXVLPYN,1937,26,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking),NA,651320,598324,90
63ffcd80c205813a1368278c,,APPROVED,2023-03-01T22:11:18.575000Z,2023-03-01T23:48:02.484000Z,2023-03-02T12:50:28.600000Z,2023-03-01T23:48:02.855278Z,5804,CQXVLPYN,639,30,Female,Black,United States,United States,United States,English,No,Unemployed (and job seeking),NA,609156,598175,78
