internal_id,song_id,age_at_event_orig,age_at_event_cover,association_orig,association_cover,control_orig,control_cover,memory_orig,memory_cover,description_orig,description_cover,emot_content_orig,emot_content_cover,emot_intensity_orig,emot_intensity_cover,energetic_orig,energetic_cover,experience_orig,experience_cover,familiarity_orig,familiarity_cover,important_orig,important_cover,preference_orig,preference_cover,social_orig,social_cover,unique_orig,unique_cover,vivid_orig,vivid_cover
86,2011_1,12,12,Just remember when it came out. And people being obsessed with her.,Middle school. 11-13,completely spontaneous,somewhat deliberate,TRUE,TRUE,I remember someone in my school singing this I think in middle school or high school. I'm not exactly sure when.,"This kid sang it at the middle school talent show, is where I first heard it.",very positive,neutral,not at all,somewhat,extremely,not at all,First hearing it on the radio and then everyone was listening to it.,A kid sang it at a talent show in middle school. I did not have a good time.,extremely,extremely,not at all,not at all,somewhat,a lot,extremely,not at all,not at all,not at all,very,somewhat
86,2011_2,14,NA,Just some one hit wonder pop song that was played all over the place.,Middle school on the radio constantly,completely spontaneous,NA,TRUE,FALSE,I remember this song being big in High School. I'm 25 now. so maybe a decade ago or more.,NA,somewhat negative,NA,a little,NA,not at all,NA,"I heard this song back in high school. All over tv, the news. LMFAO was big for a moment.",Absolutely hate this song.,extremely,extremely,not at all,NA,not at all,not at all,not at all,NA,not at all,NA,very,NA
86,2012_1,15,16,my younger years,High school. 16,completely spontaneous,completely spontaneous,TRUE,TRUE,This song came out I believe in  either 2011 or 2013. I remember this being a huge hit in high school. This song is kinda a one hit wonder banger.,Song came out in 2013 I remember that. Was a big hit in high school,very positive,very positive,not at all,not at all,not at all,not at all,2010-2015,"Thought the song was really cool, the guy who wrote it was very talented but wasn't mainstream. So was cool to see. Really fun song.",extremely,extremely,not at all,not at all,a lot,love it!,very,not at all,a little,not at all,very,extremely
86,2012_2,14,NA,Yeah when I was younger. That's almost like a meme song. Kinda catchy though.,Middle school years,completely spontaneous,NA,TRUE,FALSE,I remember when carly rae jensen had this hit. Really funny how this song blew up. Idek her other songs.,NA,somewhat positive,NA,not at all,NA,not at all,NA,Just heard it everywhere because the music video was blowing up and it was just this random girls song.,Just remember the memes about it.,extremely,extremely,not at all,NA,a little,not at all,not at all,NA,not at all,NA,extremely,NA
86,2012_3,13,NA,I was like maybe 13 but don't hold me to that. Middle school high school era.,I think this came out when i was in middle school.,completely spontaneous,NA,TRUE,FALSE,Heard this song and remember it being big.,NA,neutral,NA,very,NA,not at all,NA,"I for some reason recall that the band are older guys at the time, and that they had been around for a while and finally broke through maybe by the time they were in late 30's early 40's. But I could be wrong about that.",just heard it on the radio,extremely,extremely,not at all,NA,a little,not at all,not at all,NA,not at all,NA,very,NA
86,2012_5,12,NA,Yeah my youth for sure is when I heard this.,not particularly. idk when this even came out.,somewhat deliberate,NA,TRUE,FALSE,I just remember hearing this song on the radio. It brought back more of a time period. Of just being young with friends. But I'm not like the biggest fan of the song.,NA,neutral,NA,not at all,NA,not at all,NA,I think late middle school or early high school. I'm not exactly sure when the song came out.,Radio,extremely,extremely,not at all,NA,a little,not at all,not at all,NA,not at all,NA,somewhat,NA
86,2013_2,14,NA,I remember hearing this song. I remember not liking it. Robin Thicke. Probably 14,Don't know this one,completely spontaneous,NA,TRUE,FALSE,I think Middle school or high school I heard this. No clue when. Just remember the music video.,NA,somewhat negative,NA,not at all,NA,not at all,NA,Heard it and just really didn't like it. He was annoying. One hit wonder.,Not sure what this is,extremely,not at all,not at all,NA,not at all,not at all,not at all,NA,not at all,NA,very,NA
86,2013_3,13,NA,"I remember being like this is an okay song, and then hating it. Probably heard it 12-15 somewhere in that age range.",2013,completely spontaneous,NA,TRUE,FALSE,Imagine dragons blew up when I think I was just starting high school or late middle school. I can't remember exactly.,NA,very negative,NA,not at all,NA,not at all,NA,"I remember thinking okay, all their songs sound similar but that's okay. And then it just got too annoying, they were everywhere. Not my kind of music.",Just high school alternative trash lol,extremely,extremely,not at all,NA,not at all,not at all,not at all,NA,not at all,NA,extremely,NA
86,2013_5,15,NA,I've heard this song but dont remember how old I was,I think this came out when i was in high school? When i was 14 or 15. I don't exactly remember though.,completely deliberate,NA,TRUE,FALSE,I've heard the song but I dont' remember where.,NA,neutral,NA,not at all,NA,not at all,NA,Just heard it before.,Just often heard this song.,a little,somewhat,not at all,NA,a little,a little,not at all,NA,not at all,NA,not at all,NA
86,2014_1,15,15,I just remember liking the song when it came out,I just remember hearing this song,completely spontaneous,somewhat deliberate,TRUE,FALSE,I remember hearing this song and liking it alot. Pharell is a cool dude.,Isn't this a pharell song.,very positive,somewhat positive,somewhat,not at all,not at all,not at all,"It's just a fun song, that was often I swear played as a back track in a video game but I could be wrong.",Just have heard it before.,somewhat,very,not at all,not at all,a lot,somewhat,not at all,not at all,not at all,not at all,extremely,not at all
86,2014_4,11,NA,12,n/a,somewhat deliberate,NA,TRUE,FALSE,High school,NA,neutral,NA,not at all,NA,not at all,NA,Iggy azalea blew up but I don't remember when. Mostly heard her stuff just on the radio or tv.,Whenever it came out. I have no clue.,very,extremely,not at all,NA,not at all,not at all,not at all,NA,not at all,NA,a little,NA
86,2015_1,18,20,18,It was often just played everywhere.,completely spontaneous,somewhat spontaneous,TRUE,TRUE,Just a great song. I think came out late high school fo rme.,"I just remember when Bruno Mars was going off with this song, and how it was a big deal.",very positive,somewhat positive,very,not at all,very,somewhat,"Just a fun song, bruno mars is awesome. Heard it when he blew up and liked it alot.","I often heard it, and had seen his live performances on youtube",extremely,extremely,not at all,not at all,love it!,love it!,not at all,very,not at all,not at all,very,extremely
86,2015_3,18,NA,When the movie came out.,whenever that FF7 movie came out.,neither,NA,TRUE,FALSE,I only know this because of FF7. Which i wasn't a big fan of. SO this song is annoying to me.,NA,very negative,NA,not at all,NA,not at all,NA,Just heard it being played by other people. And in the movie,"Just knew about it from the movie. I hate those movies though,",extremely,extremely,not at all,NA,not at all,not at all,very,NA,not at all,NA,a little,NA
86,2015_4,20,NA,I think between 18-21 in age,Never heard this one before.,somewhat deliberate,NA,TRUE,FALSE,My friend in college listened to music from this guy. Idk who it is though.,NA,neutral,NA,not at all,NA,a little,NA,Hearing my friends play it,I have never heard this song.,very,not at all,not at all,NA,not at all,not at all,somewhat,NA,not at all,NA,a little,NA
86,2016_2,18,18,"18, freshman year of college 2015","Yeah this song, even though I don't listen to it on my own, reminds me of my college years, which I absolutely cherish.",completely spontaneous,completely deliberate,TRUE,TRUE,Guy my freshmen year of college was obsessed with this song. He was some frat guy I knew.,I remember this guy who went to a frat who I was friends with was obsessed with Justin Bieber and would listen to this song in my room constantly.,very positive,neutral,not at all,a little,somewhat,a little,Really great great memories of my first year in college. Was awesome to listen to. Just fond memories from the song and being around my friends and a new environment.,"Just hearing it in college, hanging out with my college friends. Miss those times.",extremely,extremely,very,very,love it!,somewhat,very,extremely,very,somewhat,extremely,very
