participant,song_id,x,y,rt
185931,Kiss_Prince_Original5S,0.251302083,0.171875,1.227
185931,Weak_SWV_Original5S,0.09765625,-0.174479167,2.338
185931,EyeOfTheTiger_Survivor_Original5S,0.09375,0.088541667,0.561
185931,Irreplaceable_Beyonce_Original5S,0.173177083,0.071614583,0.808
185931,Perfect_EdSheeran_Original5S,0.15625,-0.204427083,0.711
185931,BetteDavisEyes_KimCarnes_Cover5S,-0.079427083,-0.231770833,0.844
185931,SmellsLikeTeenSpirit_Nirvana_Cover5S,-0.145833333,0.114583333,0.373
185931,LikeARollingStone_BobDylan_Cover5S,0.147135417,-0.205729167,0.129
185931,Dreams_FleetwoodMac_Cover5S,0.080729167,0.087239583,3.61
185931,SaveYourTears_TheWeekndArianaGrande_Original5S,0.111979167,0.08203125,1.318
185931,BlurredLines_RobinThicke_Original5S,0.098958333,0.131510417,3.118
185931,FlashdanceWhatAFeeling_IreneCara_Cover5S,0.157552083,0.15234375,0.861
185931,UnbreakMyHeart_ToniBraxton_Cover5S,0.141927083,-0.126302083,0.19
185931,TossinAndTurnin_BobbyLewis_Cover5S,-0.123697917,0.140625,0.618
185931,JoyToTheWorld_ThreeDogNight_Cover5S,-0.200520833,0.147135417,2.085
185931,IWantToHoldYourHand_TheBeatles_Cover5S,-0.221354167,-0.157552083,2.213
185931,SomebodyThatIUsedtoKnow_Gotye_Cover5S,0.23046875,0.020833333,2.839
185931,GimmeShelter_RollingStones_Cover5S,0.203125,-0.154947917,0.738
185931,LeFreak_Chic_Original5S,0.270833333,0.045572917,0.963
185931,Stronger_KanyeWest_Cover5S,-0.225260417,0.131510417,2.127
185931,NoOne_AliciaKeys_Original5S,0.2421875,0.100260417,2.905
185931,HeatWaves_GlassAnimals_Cover5S,0.2421875,0.100260417,1.181
185931,StandByMe_BenEKing_Original5S,0.23046875,-0.162760417,1.151
185931,BadDay_DanielPowter_Original5S,0.108072917,-0.135416667,3.844
185931,TikTok_Kesha_Original5S,0.201822917,0.1640625,0.693
185931,IWillAlwaysLoveYou_WhitneyHouston_Original5S,0.140625,-0.169270833,0.572
185931,Despacito_LuisFonsiDaddyYankee_Original5S,0.2265625,0.078125,1.971
185931,NoScrubs_TLC_Cover5S,0.2265625,0.078125,1.053
185931,Levitating_DuaLipa_Original5S,0.2265625,0.078125,0.795
185931,Superstition_StevieWonder_Original5S,0.2265625,0.078125,0.709
185931,HeyYa_Outkast_Original5S,-0.036458333,0.13671875,1.609
185931,StrawberryFieldsForever_TheBeatles_Cover5S,-0.174479167,0.138020833,1.15
185931,AChangeIsGonnaCome_SamCooke_Original5S,0.1171875,-0.127604167,0.956
185931,ComeAndGetYourLove_Redbone_Cover5S,-0.092447917,0.07421875,0.711
185931,Mood_24kGoldnianndior_Original5S,0.153645833,0.114583333,0.674
185931,OldTownRoad_LilNasX_Cover5S,0.197916667,-0.16796875,1.341
