Submission id,,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Custom study tncs accepted at
63ffcd80c205813a1368278c,,APPROVED,2023-03-01T22:11:18.575000Z,2023-03-01T23:48:02.484000Z,2023-03-02T12:50:28.600000Z,2023-03-01T23:48:02.855278Z,5804,CQXVLPYN,639,30,Female,Black,United States,United States,United States,English,No,Unemployed (and job seeking),
64004e0fda7a9eeb261289b3,,APPROVED,2023-03-02T07:20:14.804000Z,2023-03-02T08:29:52.597000Z,2023-03-02T12:50:28.703000Z,2023-03-02T08:29:52.976242Z,4178,CQXVLPYN,2165,23,Female,White,United States,United States,United States,English,No,DATA_EXPIRED,
64008cdaccc6b9374e1af424,,APPROVED,2023-03-02T11:47:42.314000Z,2023-03-02T12:21:34.353000Z,2023-03-02T12:50:28.805000Z,2023-03-02T12:21:34.711184Z,2033,CQXVLPYN,351,28,Female,White,United States,United States,United States,English,No,DATA_EXPIRED,
6402101671704325babe16c6,,APPROVED,2023-03-03T15:20:01.797000Z,2023-03-03T16:10:26.612000Z,2023-03-03T16:38:27.760000Z,2023-03-03T16:10:26.939690Z,3025,CQXVLPYN,291,27,Female,White,United States,United States,United States,English,No,Full-Time,
64025d3cb97074670837360a,,APPROVED,2023-03-03T20:49:32.416000Z,2023-03-03T21:30:05.346000Z,2023-03-03T21:42:09.637000Z,2023-03-03T21:30:05.726766Z,2433,CQXVLPYN,2417,36,Female,Asian,United States,United States,United States,English,DATA_EXPIRED,Part-Time,
6403a36c026a42ebe81a79f4,,APPROVED,2023-03-04T20:00:49.015000Z,2023-03-04T22:41:31.142000Z,2023-03-06T18:43:23.203000Z,2023-03-04T22:41:31.567500Z,9643,CQXVLPYN,2847,24,Male,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
6403a487f6745e9aa7498cf0,,APPROVED,2023-03-04T20:05:35.170000Z,2023-03-04T21:00:54.833000Z,2023-03-06T18:43:23.309000Z,2023-03-04T21:00:55.351661Z,3320,CQXVLPYN,104,37,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
6409f90b6d4725c93cead170,,APPROVED,2023-03-09T15:19:44.510000Z,2023-03-09T16:17:42.369000Z,2023-03-09T20:49:04.112000Z,2023-03-09T16:17:42.757677Z,3478,NOCODE,586,28,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
640d0a9def7c58ff6ba9ebfe,,APPROVED,2023-03-11T23:11:49.004000Z,2023-03-12T00:46:21.955000Z,2023-03-18T22:44:53.094000Z,2023-03-12T00:46:22.336137Z,5673,CQXVLPYN,461,25,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking),
6412567f87c74feba44d3965,,APPROVED,2023-03-15T23:36:35.102000Z,2023-03-16T00:56:02.584000Z,2023-03-18T22:44:53.208000Z,2023-03-16T00:56:02.947676Z,4768,CQXVLPYN,1648,33,Female,White,United States,United States,United States,English,No,Full-Time,
641382b9b002d39742b91b89,,APPROVED,2023-03-16T20:57:32.412000Z,2023-03-16T21:47:39.994000Z,2023-03-18T22:44:53.320000Z,2023-03-16T21:47:40.407670Z,3008,CQXVLPYN,1492,39,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
6423041643bdec1204d14aaa,,APPROVED,2023-03-28T15:13:32.172000Z,2023-03-28T15:52:56.248000Z,2023-04-02T21:36:00.579000Z,2023-03-28T15:52:56.654075Z,2365,CQXVLPYN,1023,24,Male,White,United States,United States,United States,English,No,Full-Time,
644fe0ede5924baf0fcc6cec,,APPROVED,2023-05-01T16:01:29.651000Z,2023-05-01T17:18:15.956000Z,2023-05-15T01:55:38.211000Z,2023-05-01T17:18:16.427788Z,4607,CQXVLPYN,241,22,Male,Other,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
64504809772414e175d34f8a,,APPROVED,2023-05-01T23:15:23.179000Z,2023-05-02T00:25:29.377000Z,2023-05-15T01:55:38.340000Z,2023-05-02T00:25:30.352557Z,4207,CQXVLPYN,1937,26,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking),
64a0f628f65f5ca1fcb2ee6f,,APPROVED,2023-07-02T03:59:40.339000Z,2023-07-02T04:38:46.847000Z,2023-07-23T00:00:05.310000Z,2023-07-02T04:38:47.436835Z,2347,CQXVLPYN,1037,24,Male,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
63f6700abb324922476536af,,APPROVED,2023-02-22T19:42:54.599000Z,2023-02-23T13:42:25.028000Z,2023-02-23T13:42:25.250000Z,,64771,Manual Completion,3128,34,Male,Black,United States,United States,United States,English,No,DATA_EXPIRED,Not Applicable
